,name,categories,latitude,longitude,neighborhood
33,Hot Cafe,Thai Restaurant,33.611082316584834,-84.43631087270174,
34,RaceTrac,Gas Station,33.648493,-84.463013,Airport South
35,Starbucks,Coffee Shop,33.640891019506924,-84.44476896024125,
36,Old National Discount Mall,Flea Market,33.61552988060527,-84.47509307490523,
37,Kiehl's,Cosmetics Shop,33.640772153589545,-84.43577446385616,
38,Martini's,Hotel Bar,33.626839835597245,-84.45746895781883,
39,SkyTrain Station: Rental Car Center,Tram Station,33.639782193468776,-84.4635035732549,
40,Fresh Healthy Cafe,Snack Place,33.64273259262432,-84.43259487705545,
41,L'Occitane en Provence,Cosmetics Shop,33.64271736499331,-84.43914081455947,
42,Noodle,Asian Restaurant,33.65440541636192,-84.44965046221365,
43,Delta Sky Club,Airport Lounge,33.64188240778042,-84.4326535765314,
44,Burger Theory,Burger Joint,33.627974153316934,-84.45235047743255,
45,Zaxby's Chicken Fingers & Buffalo Wings,Fried Chicken Joint,33.588604,-84.471832,
46,P.F. Chang's,Chinese Restaurant,33.64071556171471,-84.43928128477637,
47,Delta Sky Club,Airport Lounge,33.64054190775786,-84.43917647847199,
48,Pinkberry,Frozen Yogurt Shop,33.638925,-84.439086,
49,Park'N Ticket,Parking,33.647917729091965,-84.45461847119697,
0,QuikTrip,Convenience Store,33.60871847798547,-84.43541160327722,
1,LA Fitness,Gym / Fitness Center,33.61083304190771,-84.46179731888478,
2,Chicken & Beer,Fried Chicken Joint,33.638494329766836,-84.42931835167796,
3,Hot Cafe,Thai Restaurant,33.611082316584834,-84.43631087270174,
4,Delta Sky Club,Airport Lounge,33.6410332522783,-84.43597693664228,
5,One Flew South Restaurant & Sushi Bar,Sushi Restaurant,33.64093541637026,-84.42590997894764,
6,Varasano's Pizza,Pizza Place,33.64082065063238,-84.43962564033944,
7,A Walk Through Atlanta History,Art Gallery,33.640806960249776,-84.4330108015916,
8,Dairy Queen,Fast Food Restaurant,33.63767012385252,-84.46158438920975,
9,Atlanta Airport Marriott,Hotel,33.6260609,-84.4606404,
10,Kravn Wings,Wings Joint,33.615833760502376,-84.461491971769,
11,Aldi,Grocery Store,33.596542377265074,-84.42797631025314,
12,Zimbabwe: A Tradition in Stone,Art Gallery,33.64074521002435,-84.4425388597648,
13,Kiehl's,Cosmetics Shop,33.640772153589545,-84.43577446385616,
14,Fresh Healthy Cafe,Snack Place,33.64273259262432,-84.43259487705545,
15,Delta Sky Club,Airport Lounge,33.64188240778042,-84.4326535765314,
16,Buka2,African Restaurant,33.60695015657187,-84.43491927837545,
17,The Corner Grille,Restaurant,33.651016516417805,-84.44975348752914,
18,L'Occitane en Provence,Cosmetics Shop,33.64271736499331,-84.43914081455947,
19,Five Guys,Burger Joint,33.642195925020374,-84.43255643129739,
20,Starbucks,Coffee Shop,33.640891019506924,-84.44476896024125,
21,National Car Rental,Rental Car Location,33.6398924,-84.4642402,
22,Pinkberry,Frozen Yogurt Shop,33.638925,-84.439086,
23,Bojangles' Famous Chicken 'n Biscuits,Fast Food Restaurant,33.615125,-84.472216,
24,Delta Sky Club,Airport Lounge,33.64054190775786,-84.43917647847199,
25,P.F. Chang's,Chinese Restaurant,33.64071556171471,-84.43928128477637,
26,Ecco,Restaurant,33.6395414666171,-84.41976676290575,
27,Big Daddy's Dish,Southern / Soul Food Restaurant,33.603378307449,-84.47293649559136,
28,College Park Crab Pot,Seafood Restaurant,33.61577075550143,-84.47607467180033,
29,Renaissance Atlanta Airport Gateway Hotel,Hotel,33.644120136600144,-84.45527401586912,
30,Delta Sky Club,Airport Lounge,33.64012851189849,-84.41970810597721,
31,Yasins Homestyle Seafood,Seafood Restaurant,33.61022983509784,-84.47090461822481,
32,Tropical Cuisine,Caribbean Restaurant,33.62208301876806,-84.47659782473194,
33,Dollar General,Discount Store,33.60176005668626,-84.43092640647409,
34,Café Intermezzo,Café,33.64077945058011,-84.43563223133248,
35,Backstage Night Club & Lounge,Nightclub,33.61694834943027,-84.4715758172479,
36,Golden Krust Caribbean Bakery and Grill,Caribbean Restaurant,33.59092674958568,-84.46887717503206,
37,Grown Folks Cafe,Nightclub,33.60560034491256,-84.47219785259487,
38,Delta Sky Club,Airport Lounge,33.640338628031316,-84.42484080791473,
39,Madhouse Sports Bar & Grill,Sports Bar,33.61164459369106,-84.47154520704898,
40,Chick-fil-A,Fast Food Restaurant,33.640942,-84.439541,
41,Starbucks Marriott Airport Hotel,Coffee Shop,33.626256035069794,-84.46032146540038,
42,Freshens,Juice Bar,33.642254753720074,-84.43920952295812,
43,Papi's Cuban and Caribbean Grill,Caribbean Restaurant,33.64000911686688,-84.44266448204162,
44,Atlanta Airport Marriott Gateway,Hotel,33.6442308,-84.4553054,
45,Cozumel The Mexican Cantina,Mexican Restaurant,33.61759899701375,-84.47228160313462,
46,Burger Theory,Burger Joint,33.627974153316934,-84.45235047743255,
47,The Sky Deck,Roof Deck,33.640013746701975,-84.42012206849685,
48,Subway Concourse E,Sandwich Place,33.64085888938006,-84.42632411809494,
49,Voya Bistro,Bar,33.62635112651926,-84.46041750654436,
0,One Flew South Restaurant & Sushi Bar,Sushi Restaurant,33.64093541637026,-84.42590997894764,
1,QuikTrip,Convenience Store,33.60871847798547,-84.43541160327722,
2,Chicken & Beer,Fried Chicken Joint,33.638494329766836,-84.42931835167796,
3,Ecco,Restaurant,33.6395414666171,-84.41976676290575,
4,Don Burrito Grill,Burrito Place,33.620569052452936,-84.39705777173457,
5,Delta Sky Club,Airport Lounge,33.64012851189849,-84.41970810597721,
6,Aldi,Grocery Store,33.596542377265074,-84.42797631025314,
7,A Walk Through Atlanta History,Art Gallery,33.640806960249776,-84.4330108015916,
8,Delta Sky Club,Airport Lounge,33.6410332522783,-84.43597693664228,
9,Market Grocery Co.,Grocery Store,33.619664649458485,-84.3887932120475,
10,Hot Cafe,Thai Restaurant,33.611082316584834,-84.43631087270174,
11,The Sky Deck,Roof Deck,33.640013746701975,-84.42012206849685,
12,Fresh Healthy Cafe,Snack Place,33.64273259262432,-84.43259487705545,
13,Comfort Suites,Motel,33.6168752,-84.4055401,
14,Varasano's Pizza,Pizza Place,33.64082065063238,-84.43962564033944,
15,Delta Sky Club,Airport Lounge,33.64188240778042,-84.4326535765314,
16,Delta Sky Club,Airport Lounge,33.640338628031316,-84.42484080791473,
17,Kiehl's,Cosmetics Shop,33.640772153589545,-84.43577446385616,
18,Five Guys,Burger Joint,33.642195925020374,-84.43255643129739,
19,Buka2,African Restaurant,33.60695015657187,-84.43491927837545,
20,The Club at ATL,Travel Lounge,33.640461313580076,-84.41918758483048,
21,Dollar General,Discount Store,33.60176005668626,-84.43092640647409,
22,Subway Concourse E,Sandwich Place,33.64085888938006,-84.42632411809494,
23,Delta Flight Museum,Museum,33.656201228272415,-84.42214484894274,
24,Zimbabwe: A Tradition in Stone,Art Gallery,33.64074521002435,-84.4425388597648,
25,Atlanta State Farmers Market,Farmers Market,33.620261409800605,-84.39525039420727,
26,L'Occitane en Provence,Cosmetics Shop,33.64271736499331,-84.43914081455947,
27,Grindhouse Killer Burger,Burger Joint,33.64245674933391,-84.42939049742039,
28,Café Intermezzo,Café,33.64077945058011,-84.43563223133248,
29,Delta Sky Club,Airport Lounge,33.64054190775786,-84.43917647847199,
30,P.F. Chang's,Chinese Restaurant,33.64071556171471,-84.43928128477637,
31,Pinkberry,Frozen Yogurt Shop,33.638925,-84.439086,
32,Chick-fil-A,Fast Food Restaurant,33.6563816,-84.4040053,
33,The Corner Grille,Restaurant,33.651016516417805,-84.44975348752914,
34,LA Fitness,Gym / Fitness Center,33.61083304190771,-84.46179731888478,
35,Pit Boss BBQ,BBQ Joint,33.65836996168346,-84.41721838910712,
36,Volare,Italian Restaurant,33.65889960673664,-84.40881692648153,
37,IHOP,Breakfast Spot,33.65366505728827,-84.39737447621485,
38,Zesto Drive-Ins,Fast Food Restaurant,33.619157865453694,-84.38362986176,
39,Starbucks,Coffee Shop,33.640891019506924,-84.44476896024125,
40,Chick-fil-A,Fast Food Restaurant,33.656296,-84.424104,
41,Freshens,Juice Bar,33.642254753720074,-84.43920952295812,
42,Drip Coffee Shop,Coffee Shop,33.65890087190095,-84.40870151068687,
43,Dairy Queen,Fast Food Restaurant,33.63767012385252,-84.46158438920975,
44,Chick-fil-A,Fast Food Restaurant,33.640942,-84.439541,
45,Paschal's Express,Southern / Soul Food Restaurant,33.640769016459394,-84.43624661023807,
46,Grecian Gyro,Greek Restaurant,33.659000213804376,-84.41705301404,
47,Delta 747 Museum,Museum,33.656962,-84.421723,
48,Delta Sky Club,Airport Lounge,33.64211312732959,-84.42930302804857,
49,Fresh To Order,Sandwich Place,33.64078496799341,-84.43605481137823,
0,Market Grocery Co.,Grocery Store,33.619664649458485,-84.3887932120475,
1,Don Burrito Grill,Burrito Place,33.620569052452936,-84.39705777173457,
2,Atlanta State Farmers Market,Farmers Market,33.620261409800605,-84.39525039420727,
3,Zesto Drive-Ins,Fast Food Restaurant,33.619157865453694,-84.38362986176,
4,Comfort Suites,Motel,33.6168752,-84.4055401,
5,Forest Park Army Navy Store,Sporting Goods Shop,33.6202888484156,-84.3617543337842,
6,One Flew South Restaurant & Sushi Bar,Sushi Restaurant,33.64093541637026,-84.42590997894764,
7,Ecco,Restaurant,33.6395414666171,-84.41976676290575,
8,Pho Dai Loi - Forest Park,Vietnamese Restaurant,33.64387375498953,-84.36403561530216,
9,Delta Sky Club,Airport Lounge,33.64012851189849,-84.41970810597721,
10,Chicken & Beer,Fried Chicken Joint,33.638494329766836,-84.42931835167796,
11,Chick-fil-A,Fast Food Restaurant,33.6190353,-84.3517361,
12,Starr park,Park,33.618335232710194,-84.36662979436238,
13,IHOP,Breakfast Spot,33.65366505728827,-84.39737447621485,
14,Grecian Gyro,Greek Restaurant,33.63073802727157,-84.38631712636993,
15,Golden Gate,Chinese Restaurant,33.63584796380687,-84.35963300561288,
16,Chick-fil-A,Fast Food Restaurant,33.6563816,-84.4040053,
17,Aldi,Grocery Store,33.596542377265074,-84.42797631025314,
18,"Range, Guns & Safes",Sporting Goods Shop,33.62843154126965,-84.39909002362704,
19,QuikTrip,Convenience Store,33.60871847798547,-84.43541160327722,
20,The Sky Deck,Roof Deck,33.640013746701975,-84.42012206849685,
21,A Walk Through Atlanta History,Art Gallery,33.640806960249776,-84.4330108015916,
22,Kimpton Overland Hotel,Hotel,33.65272345168233,-84.40053064972017,
23,The Club at ATL,Travel Lounge,33.640461313580076,-84.41918758483048,
24,Jimmy John's,Sandwich Place,33.63029266002558,-84.38559709763814,
25,Delta Sky Club,Airport Lounge,33.640338628031316,-84.42484080791473,
26,Fresh Healthy Cafe,Snack Place,33.64273259262432,-84.43259487705545,
27,Jersey Mike's Subs,Sandwich Place,33.64020538330078,-84.4180679321289,
28,Delta Sky Club,Airport Lounge,33.64188240778042,-84.4326535765314,
29,Penske Truck Rental,Rental Car Location,33.61264066696247,-84.38027510050233,
30,Subway Concourse E,Sandwich Place,33.64085888938006,-84.42632411809494,
31,Five Guys,Burger Joint,33.642195925020374,-84.43255643129739,
32,Scott Antique Market (Atlanta Expo Center South),Antique Shop,33.65064235504812,-84.36406019411818,
33,Restaurant 356,Restaurant,33.6517714391016,-84.39866554426999,
34,Hot Cafe,Thai Restaurant,33.611082316584834,-84.43631087270174,
35,Pho Lanxang,Asian Restaurant,33.63023358944029,-84.35681444939306,
36,Dollar General,Discount Store,33.60176005668626,-84.43092640647409,
37,Mami's La Cubana,Caribbean Restaurant,33.65847996493714,-84.40806902078579,
38,J. Buffalos House,Restaurant,33.61488059038563,-84.34907427173799,
39,Grindhouse Killer Burger,Burger Joint,33.64245674933391,-84.42939049742039,
40,Buka2,African Restaurant,33.60695015657187,-84.43491927837545,
41,Little Giant Farmer's Market,Farmers Market,33.5823857288338,-84.380031413494,
42,Sombreros Mexican Cantina,Mexican Restaurant,33.655680799039104,-84.40236514572337,
43,Corner Tavern,Bar,33.65814128579303,-84.40760635174054,
44,Crest Package Store,Liquor Store,33.65429386232922,-84.4006781012216,
45,Kiehl's,Cosmetics Shop,33.63985365741268,-84.41967683056635,
46,Streatery - Peachtree,Food Truck,33.639718317015124,-84.4325265720795,
47,Lake City International Farmers Market,Grocery Store,33.61272024141653,-84.34791402969691,
48,Pandora,Jewelry Store,33.641284110515606,-84.42593173976229,
49,Best Western Plus Atlanta Airport-East,Hotel,33.65420897495376,-84.39719035719463,
0,Forest Park Army Navy Store,Sporting Goods Shop,33.6202888484156,-84.3617543337842,
1,Chick-fil-A,Fast Food Restaurant,33.6190353,-84.3517361,
2,Starr park,Park,33.618335232710194,-84.36662979436238,
3,Market Grocery Co.,Grocery Store,33.619664649458485,-84.3887932120475,
4,Golden Gate,Chinese Restaurant,33.63584796380687,-84.35963300561288,
5,Zesto Drive-Ins,Fast Food Restaurant,33.619157865453694,-84.38362986176,
6,Pho Dai Loi - Forest Park,Vietnamese Restaurant,33.64387375498953,-84.36403561530216,
7,J. Buffalos House,Restaurant,33.61488059038563,-84.34907427173799,
8,Pho Lanxang,Asian Restaurant,33.63023358944029,-84.35681444939306,
9,Don Burrito Grill,Burrito Place,33.620569052452936,-84.39705777173457,
10,Lake City International Farmers Market,Grocery Store,33.61272024141653,-84.34791402969691,
11,Anne & Bill's Restaurant,Southern / Soul Food Restaurant,33.61869893954383,-84.35568428401746,
12,Atlanta State Farmers Market,Farmers Market,33.620261409800605,-84.39525039420727,
13,Scott Antique Market (Atlanta Expo Center South),Antique Shop,33.65064235504812,-84.36406019411818,
14,Walgreens,Pharmacy,33.600083445680305,-84.33989524841309,
15,Grecian Gyro,Greek Restaurant,33.63073802727157,-84.38631712636993,
16,Penske Truck Rental,Rental Car Location,33.61264066696247,-84.38027510050233,
17,Scott Antique Market (Atlanta Expo Center North),Antique Shop,33.65551944087731,-84.36625099825703,
18,The Chicken House,Mexican Restaurant,33.62144707964295,-84.35297001910313,
19,Wholesale Food Outlet,Convenience Store,33.62102739321301,-84.3542505588042,
20,Jimmy John's,Sandwich Place,33.63029266002558,-84.38559709763814,
21,Comfort Suites,Motel,33.6168752,-84.4055401,
22,The Home Depot,Hardware Store,33.64889514807436,-84.36764001846313,
23,Dollar General,Discount Store,33.612719,-84.348443,
24,Little Giant Farmer's Market,Farmers Market,33.5823857288338,-84.380031413494,
25,Dollar Tree,Discount Store,33.6333878543978,-84.3579589271989,
26,Kroger,Supermarket,33.6003028,-84.3369326,
27,Holiday Bottle Shop,Liquor Store,33.590263259271794,-84.3645656794112,
28,Quality Fresh Seafood,Seafood Restaurant,33.58765869689589,-84.37772938857145,
29,"Range, Guns & Safes",Sporting Goods Shop,33.62843154126965,-84.39909002362704,
30,Family Dollar,Discount Store,33.625401,-84.355609,
31,Baskin-Robbins,Ice Cream Shop,33.60057893659988,-84.33989544870846,
32,Benefield's Eatery & Saloon,American Restaurant,33.58275746956969,-84.37635006909042,
33,KFC,Fried Chicken Joint,33.62018617624898,-84.3525144926424,
34,CVS pharmacy,Pharmacy,33.61749256027729,-84.35698920353191,
35,American Deli,American Restaurant,33.63088444963139,-84.38620737706196,
36,Funtime Bowl,Bowling Alley,33.62238476742344,-84.35341104161762,
37,Little Caesars Pizza,Pizza Place,33.61925105661074,-84.3632585387684,
38,Subway,Sandwich Place,33.631825610268805,-84.35740633918347,
39,Piggly Wiggly,Grocery Store,33.62428,-84.3551,
40,FedEx Ship Center,Shipping Store,33.634112734041025,-84.39231634140015,
41,Family Dollar,Discount Store,33.64549,-84.36393,
42,Dunkin',Donut Shop,33.6005536598711,-84.3399956668436,
43,W.H. Reynolds Memorial Nature Preserve,Park,33.601043752445115,-84.3471121987247,
44,Waffle House,Breakfast Spot,33.61857033973863,-84.38667763217785,
45,Dollar Tree,Discount Store,33.600726422763664,-84.33749405278708,
46,Food Depot,Grocery Store,33.59086453914642,-84.3648236989975,
47,Church's Chicken,Fried Chicken Joint,33.6326296143928,-84.35712394448477,
48,National Archives at Atlanta,History Museum,33.59771878835111,-84.33770735451361,
49,Firestone Complete Auto Care,Automotive Shop,33.620136,-84.3519,
0,Chick-fil-A,Fast Food Restaurant,33.6190353,-84.3517361,
1,Forest Park Army Navy Store,Sporting Goods Shop,33.6202888484156,-84.3617543337842,
2,J. Buffalos House,Restaurant,33.61488059038563,-84.34907427173799,
3,Lake City International Farmers Market,Grocery Store,33.61272024141653,-84.34791402969691,
4,Golden Gate,Chinese Restaurant,33.63584796380687,-84.35963300561288,
5,Pho Dai Loi - Forest Park,Vietnamese Restaurant,33.64387375498953,-84.36403561530216,
6,Walgreens,Pharmacy,33.600083445680305,-84.33989524841309,
7,Pho Lanxang,Asian Restaurant,33.63023358944029,-84.35681444939306,
8,Starr park,Park,33.618335232710194,-84.36662979436238,
9,Anne & Bill's Restaurant,Southern / Soul Food Restaurant,33.61869893954383,-84.35568428401746,
10,Market Grocery Co.,Grocery Store,33.619664649458485,-84.3887932120475,
11,Kroger,Supermarket,33.6003028,-84.3369326,
12,Dollar General,Discount Store,33.612719,-84.348443,
13,The Chicken House,Mexican Restaurant,33.62144707964295,-84.35297001910313,
14,Jerk Palace,Caribbean Restaurant,33.585311708612174,-84.33916221843457,
15,Scott Antique Market (Atlanta Expo Center South),Antique Shop,33.65064235504812,-84.36406019411818,
16,Wholesale Food Outlet,Convenience Store,33.62102739321301,-84.3542505588042,
17,Cook-Out,Burger Joint,33.584071889776105,-84.33979929109654,
18,Zesto Drive-Ins,Fast Food Restaurant,33.619157865453694,-84.38362986176,
19,VN Pho,Vietnamese Restaurant,33.5816919950882,-84.34032764559893,
20,Baskin-Robbins,Ice Cream Shop,33.60057893659988,-84.33989544870846,
21,Envegan,Vegetarian / Vegan Restaurant,33.582597,-84.336713,
22,QuikTrip,Convenience Store,33.61135819206457,-84.2991621490809,
23,Boba Theory,Bubble Tea Shop,33.58302005238971,-84.33864029695982,
24,Trang Tien,Vietnamese Restaurant,33.58338863716617,-84.33650722964272,
25,Dollar Tree,Discount Store,33.6333878543978,-84.3579589271989,
26,The Home Depot,Hardware Store,33.64889514807436,-84.36764001846313,
27,Dunkin',Donut Shop,33.6005536598711,-84.3399956668436,
28,Dollar Tree,Discount Store,33.600726422763664,-84.33749405278708,
29,KFC,Fried Chicken Joint,33.62018617624898,-84.3525144926424,
30,Cold Stone Creamery,Ice Cream Shop,33.582875,-84.340091,
31,Family Dollar,Discount Store,33.625401,-84.355609,
32,Holiday Bottle Shop,Liquor Store,33.590263259271794,-84.3645656794112,
33,Funtime Bowl,Bowling Alley,33.62238476742344,-84.35341104161762,
34,National Archives at Atlanta,History Museum,33.59771878835111,-84.33770735451361,
35,Grecian Gyro,Greek Restaurant,33.63073802727157,-84.38631712636993,
36,W.H. Reynolds Memorial Nature Preserve,Park,33.601043752445115,-84.3471121987247,
37,Penske Truck Rental,Rental Car Location,33.61264066696247,-84.38027510050233,
38,CVS pharmacy,Pharmacy,33.61749256027729,-84.35698920353191,
39,Redbox,Video Store,33.600217,-84.339245,
40,Southern Comfort Restaurant & Lounge,Karaoke Bar,33.65713912897284,-84.33367197297791,
41,Piggly Wiggly,Grocery Store,33.62428,-84.3551,
42,Jimmy John's,Sandwich Place,33.63029266002558,-84.38559709763814,
43,Subway,Sandwich Place,33.631825610268805,-84.35740633918347,
44,Church's Chicken,Fried Chicken Joint,33.6326296143928,-84.35712394448477,
45,Family Dollar,Discount Store,33.64549,-84.36393,
46,Subway,Sandwich Place,33.600877243089265,-84.33922699308647,
47,Popeyes Louisiana Kitchen,Fried Chicken Joint,33.60099470832329,-84.33924193694249,
48,Food Depot,Grocery Store,33.59086453914642,-84.3648236989975,
49,T-Mobile,Mobile Phone Shop,33.65539018797495,-84.3414617604393,
0,Chick-fil-A,Fast Food Restaurant,33.6190353,-84.3517361,
1,QuikTrip,Convenience Store,33.61135819206457,-84.2991621490809,
2,Great American Hot Dog,Hot Dog Joint,33.611324429512024,-84.28647100925446,
3,Walgreens,Pharmacy,33.600083445680305,-84.33989524841309,
4,Forest Park Army Navy Store,Sporting Goods Shop,33.6202888484156,-84.3617543337842,
5,J. Buffalos House,Restaurant,33.61488059038563,-84.34907427173799,
6,Rocky's Cafe and Pizza,Pizza Place,33.583247538748765,-84.3157222987272,
7,Golden Gate,Chinese Restaurant,33.63584796380687,-84.35963300561288,
8,Lake City International Farmers Market,Grocery Store,33.61272024141653,-84.34791402969691,
9,Wendy's,Fast Food Restaurant,33.63425007479276,-84.29231956601143,
10,Kroger,Supermarket,33.6003028,-84.3369326,
11,Jerk Palace,Caribbean Restaurant,33.585311708612174,-84.33916221843457,
12,Cook-Out,Burger Joint,33.584071889776105,-84.33979929109654,
13,Pho Lanxang,Asian Restaurant,33.63023358944029,-84.35681444939306,
14,Envegan,Vegetarian / Vegan Restaurant,33.582597,-84.336713,
15,Baskin-Robbins,Ice Cream Shop,33.60057893659988,-84.33989544870846,
16,Trang Tien,Vietnamese Restaurant,33.58338863716617,-84.33650722964272,
17,Anne & Bill's Restaurant,Southern / Soul Food Restaurant,33.61869893954383,-84.35568428401746,
18,Dollar General,Discount Store,33.612719,-84.348443,
19,The Chicken House,Mexican Restaurant,33.62144707964295,-84.35297001910313,
20,Dollar Tree,Discount Store,33.600726422763664,-84.33749405278708,
21,Walmart Supercenter,Big Box Store,33.63611801061008,-84.29310059411748,
22,Dunkin',Donut Shop,33.6005536598711,-84.3399956668436,
