,name,categories,latitude,longitude,neighborhood,NPU
22,QuikTrip,Convenience Store,33.61135819206457,-84.2991621490809,,B
23,Boba Theory,Bubble Tea Shop,33.58302005238971,-84.33864029695982,,B
24,Trang Tien,Vietnamese Restaurant,33.58338863716617,-84.33650722964272,,B
30,Cold Stone Creamery,Ice Cream Shop,33.582875,-84.340091,,B
39,Redbox,Video Store,33.600217,-84.339245,,B
40,Southern Comfort Restaurant & Lounge,Karaoke Bar,33.65713912897284,-84.33367197297791,,B
46,Subway,Sandwich Place,33.600877243089265,-84.33922699308647,,B
47,Popeyes Louisiana Kitchen,Fried Chicken Joint,33.60099470832329,-84.33924193694249,,B
49,T-Mobile,Mobile Phone Shop,33.65539018797495,-84.3414617604393,,B
2,Great American Hot Dog,Hot Dog Joint,33.611324429512024,-84.28647100925446,,B
6,Rocky's Cafe and Pizza,Pizza Place,33.583247538748765,-84.3157222987272,,B
9,Wendy's,Fast Food Restaurant,33.63425007479276,-84.29231956601143,,B
21,Walmart Supercenter,Big Box Store,33.63611801061008,-84.29310059411748,,B
25,Dollar General,Discount Store,33.58356924595993,-84.3146209950445,,B
27,Dollar Tree,Discount Store,33.63524575937257,-84.29059880706052,,B
29,Dollar Tree,Discount Store,33.5829627777778,-84.3121472222222,,B
32,Popeyes Louisiana Kitchen,Fried Chicken Joint,33.63422,-84.29172,,B
33,Hardee's,Fast Food Restaurant,33.63427460091779,-84.289647,,B
37,Redbox,Video Store,33.589266,-84.337803,,B
40,Waffle House,Breakfast Spot,33.63410605839249,-84.28933222336366,,B
41,Family Dollar,Discount Store,33.59181,-84.294,,B
42,Waffle House,Breakfast Spot,33.61205378211202,-84.30041891239338,,B
43,Family Dollar,Discount Store,33.58332530373654,-84.31332267206486,,B
44,Murphy USA,Gas Station,33.59072843699379,-84.3383223847359,,A
48,McDonald's,Fast Food Restaurant,33.61180897892594,-84.3000013892496,,B
3,Carl Rhodenizer - Rex Park,Basketball Court,33.589693940176794,-84.27624198337271,,B
4,Walgreens,Pharmacy,33.6182094,-84.2470536,,A
5,Zaxby's,Fried Chicken Joint,33.62943662453401,-84.25945268389638,,B
8,Yellow Jacket Hot Dogs,Hot Dog Joint,33.619529749037916,-84.2456535647256,,B
11,Dairy Queen Grill & Chill,Fast Food Restaurant,33.619123065707115,-84.24711427116392,,B
18,BP,Gas Station,33.612875,-84.305,,B
19,Bass Soul Food,BBQ Joint,33.633334,-84.295927,,B
20,Villages of Ellenwood,Shopping Mall,33.6331623131892,-84.2797226626197,,B
21,Shell,Gas Station,33.657617397464755,-84.28614154804305,,B
22,Ft. Gillem Class VI store,Liquor Store,33.624482703161874,-84.32212829589844,,B
23,Commissary,Grocery Store,33.62426829319226,-84.32856559753418,,B
24,Cherone's Cafe,American Restaurant,33.58917166957691,-84.29322700049367,,B
25,Fairview Community Park,Park,33.62698,-84.25592,,B
26,Mcgee's emissions,Auto Garage,33.59854,-84.32159,,B
27,Carrier Transicold,Home Service,33.60979581498836,-84.33135359642802,,B
28,The Red Mill,History Museum,33.59354422908285,-84.26535647570721,,B
29,Bouldercrest Park,Park,33.656707940783896,-84.29010693344831,,B
30,China One,Chinese Restaurant,33.61751921162046,-84.24474208346268,,B
31,World Wide of Wings,Wings Joint,33.6173688765148,-84.24460318984617,,B
0,Zaxby's Chicken Fingers & Buffalo Wings,Fried Chicken Joint,33.618726,-84.243137,,B
2,Ingles,Grocery Store,33.621766697317426,-84.2373870119073,,B
7,Kroger,Supermarket,33.61927641027586,-84.23908442258835,,B
8,The Home Depot,Hardware Store,33.6201269,-84.2329045,,B
10,Subway,Sandwich Place,33.61995813362922,-84.23981151705372,,B
12,Weeyums,American Restaurant,33.622356930390886,-84.23485498508524,,B
13,CVS pharmacy,Pharmacy,33.62110470696259,-84.23640386679567,,B
14,GNC,Supplement Shop,33.61958814520029,-84.2383629314475,,B
15,Dollar General,Discount Store,33.622190384828656,-84.23515016102046,,B
16,Domino's Pizza,Pizza Place,33.61969222544596,-84.24336232246333,,B
18,Little Caesars Pizza,Pizza Place,33.621397693430126,-84.23541293013346,,B
20,Redbox,Video Store,33.620395,-84.239292,,B
21,Pizza Hut,Pizza Place,33.622474,-84.234846,,B
22,Budget Rent A Car,Rental Car Location,33.61678730903258,-84.23864397297942,,B
25,Family Dollar,Discount Store,33.620318087447956,-84.24065744702972,,B
26,McDonald's,Fast Food Restaurant,33.61992861006002,-84.23596903681761,,B
29,Snap Fitness,Gym,33.620045867212745,-84.23941010091873,,B
31,Shell,Gas Station,33.619726,-84.240428,,B
33,Burger King,Fast Food Restaurant,33.62030719636901,-84.23680454492569,,B
34,Waffle House,Breakfast Spot,33.61900391438349,-84.24220651388168,,B
37,Nations And Nails,Spa,33.619944935954,-84.23799250809373,,B
25,Hidden Valley Park,Baseball Field,33.60941352764908,-84.21597390959387,,B
26,"North Henry Electrolysis, LLC @ The Blue House",Spa,33.605184871523754,-84.21179913552942,,B
6,Publix,Grocery Store,33.648468,-84.193809,,B
10,Panola Mountain State Park,State / Provincial Park,33.62579314076278,-84.17135609804684,,B
28,Wnb Factory Wings & Burgers,Wings Joint,33.619557,-84.239982,,B
31,Fairview Recreation Center,Gym,33.60833442398368,-84.18718234531052,,B
33,Little Mountain Golf Course,Golf Course,33.641657411659146,-84.18362854102581,,B
34,Flakes Mill Rd,Moving Target,33.65097884814608,-84.19402956531356,,B
35,South River Trail,Trail,33.65537256670637,-84.20266904106705,,B
15,Lane Bryant,Women's Store,33.659999087859504,-84.50128442944776,,B
16,Moe's Southwest Grill,Mexican Restaurant,33.65613385025292,-84.50231589564812,,B
20,The Vitamin Shoppe,Supplement Shop,33.6563168,-84.502258,,B
21,Menchie's Frozen Yogurt,Frozen Yogurt Shop,33.65831675244967,-84.50193172937833,,B
22,KiKu Japanese Steak & Seafood House,Japanese Restaurant,33.65838734916072,-84.50179250260527,,B
23,Old Navy,Clothing Store,33.658290036701054,-84.49930108800785,,B
24,Five Below,Discount Store,33.66000082166058,-84.50098256079451,,B
25,LongHorn Steakhouse,Steakhouse,33.65584610566113,-84.50285312668946,,B
27,Ross Dress for Less,Clothing Store,33.65936893345971,-84.50249489445535,,B
28,Top Ten Nails,Cosmetics Shop,33.654915140814786,-84.50731859327568,,B
29,Dollar General,Discount Store,33.6594278478555,-84.47650030207896,,B
30,GameStop,Video Game Store,33.65865061148263,-84.49959096434009,,B
31,Target,Big Box Store,33.659203,-84.499825,,B
32,Chipotle Mexican Grill,Mexican Restaurant,33.65723509187696,-84.4992085118999,,B
33,Majestic Nails,Cosmetics Shop,33.65604679871431,-84.51038194778747,,B
34,Cleopatra Nails,Cosmetics Shop,33.65922186484876,-84.50302566170278,,B
36,Beauty Master Marketplace,Cosmetics Shop,33.657221311080384,-84.502581028548,,B
38,AT&T,Mobile Phone Shop,33.65722712047727,-84.49918225331976,,B
41,Tavern at J.R. Crickets,Wings Joint,33.65473775595424,-84.50578601900907,,B
42,T.J. Maxx,Department Store,33.6597237,-84.5029928,,B
43,This is It! BBQ & Seafood,BBQ Joint,33.65587873972822,-84.49975421098146,,B
45,This Is It! BBQ & Seafood To Go,Southern / Soul Food Restaurant,33.65489944405715,-84.50714794485381,,B
47,SpaTaneous nails,Spa,33.65653350181404,-84.50908307413538,,B
48,Panda Express,Chinese Restaurant,33.657646099089675,-84.50046237131036,,B
8,Kafenio,Greek Restaurant,33.663187977845645,-84.446423778624,,B
11,College Park Golf Course,Golf Course,33.65385769512667,-84.46458657735369,,B
12,Manchester Arms,Pub,33.659427757412885,-84.44482672336481,,B
13,Brake Pad,Burger Joint,33.662847377585614,-84.44655140272039,,B
14,Arden's Garden,Juice Bar,33.670421153934356,-84.44368272171563,,B
17,Waffle House,Breakfast Spot,33.659350206964305,-84.43567154227352,,B
26,Barrett Park,Playground,33.6631047493696,-84.45551550624272,,B
30,Taco Pete,Taco Place,33.6745887856814,-84.4421835097066,,B
34,Bole Ethiopian Restaurant,Ethiopian Restaurant,33.65903703366371,-84.44269381573308,,B
37,Oz Pizza,Pizza Place,33.67885493613844,-84.44058250582633,,B
41,Mellow Mushroom,Pizza Place,33.65956,-84.437551,,B
42,Our Place Bakery Cafe,Bakery,33.663271543700795,-84.44657053177576,,B
48,Louisiana Bistreaux,Cajun / Creole Restaurant,33.659520991523536,-84.43421725571461,,B
37,Delta Fitness Center,Gym / Fitness Center,33.656859159230194,-84.42414069298766,,B
38,Happy Buddha,Chinese Restaurant,33.65954432827926,-84.43686774109995,,B
47,Urban Foodie Feed Store,Southern / Soul Food Restaurant,33.6505245506812,-84.44992290928067,,B
12,Doggie Style Atlanta,Pet Store,33.662162740982716,-84.41592070167837,,B
18,Waffle House,Breakfast Spot,33.659158723942234,-84.41675662994385,,B
21,"Beer Girl, Growlers & Bottleshop",Beer Bar,33.658688293688336,-84.40835860801974,,B
24,Olympus Gym,Gym,33.659205641303735,-84.4220668589635,,B
27,Cafe At The Corner,Café,33.658454993706044,-84.40902843713097,,B
30,Which Wich? Superior Sandwiches,Sandwich Place,33.66132562117782,-84.41448088971956,,B
34,Renaissance Club Lounge,Lounge,33.65390056675654,-84.42718498269147,,B
35,Skinny's Buffalo Wings,Wings Joint,33.65909059952487,-84.41877119355117,,B
36,La Quinta Inn & Suites Atlanta Airport North,Hotel,33.66167,-84.42418,,B
41,Spondivits,Seafood Restaurant,33.65915697805896,-84.42911860732141,,B
42,Arches Brewing,Brewery,33.662537247099706,-84.40944567174849,,B
25,Enterprise Rent-A-Car,Rental Car Location,33.650432641358215,-84.36587069930283,,B
26,Doll's Head Trail,Trail,33.68267292257435,-84.34458490575143,,B
35,Wendy's,Fast Food Restaurant,33.654128675356546,-84.39975410699844,,B
38,Airport View,American Restaurant,33.6538927954312,-84.41018731838783,,B
40,John's Fine Food,Southern / Soul Food Restaurant,33.64099585447102,-84.36235829563964,,B
44,Subway,Sandwich Place,33.65745683548923,-84.40607353973138,,A
45,CVS pharmacy,Pharmacy,33.64443314913758,-84.39905244661742,,B
47,Thai Heaven,Thai Restaurant,33.65923702682215,-84.40934704328579,,B
14,Subway,Sandwich Place,33.657552,-84.33867,,B
21,Dollar General,Discount Store,33.67787042268232,-84.30803445014375,,B
26,Circle K,Gas Station,33.670727,-84.34019,,B
27,Constitution Lakes Trailhead,Trail,33.682656334420535,-84.34468070634348,,B
34,Taco Bell,Fast Food Restaurant,33.63275779452421,-84.3581387253256,,B
36,Mobil,Gas Station,33.63977,-84.36161,,B
37,Rodeway Inn,Hotel,33.634406,-84.359044,,B
39,Captain D's,Seafood Restaurant,33.63295120626733,-84.35720096130655,,B
40,Shell,Gas Station,33.62330315,-84.35330089,,B
41,Wendy's,Fast Food Restaurant,33.65794021413987,-84.33381937824839,,B
42,Sonic Drive-In,Fast Food Restaurant,33.612438066392,-84.3490228056907,,B
43,Econo Lodge,Hotel,33.6671372,-84.3384666,,B
44,Shell,Gas Station,33.61763006,-84.35750676,,A
45,McDonald's,Fast Food Restaurant,33.647877067081204,-84.36577765481616,,B
46,Checkers,Fast Food Restaurant,33.61976667735509,-84.35104250907898,,B
47,McDonald's,Fast Food Restaurant,33.6135920707094,-84.3485897334283,,B
48,Wendy's,Fast Food Restaurant,33.629266586833225,-84.38456743955612,,B
49,Restaurante y Taqueria Catalina,Mexican Restaurant,33.642806192641444,-84.38978509823002,,B
6,Fireside Jamaican Restaurant,Caribbean Restaurant,33.68183494047499,-84.30814142901558,,B
7,KFC,Fried Chicken Joint,33.68847262554071,-84.31232011652668,,B
16,Hardee's,Fast Food Restaurant,33.68811802638861,-84.31034311962605,,B
28,Checkers,Fast Food Restaurant,33.68621948973387,-84.31015223264694,,B
30,Family Dollar,Discount Store,33.68832368293114,-84.30966760788948,,B
34,Domino's Pizza,Pizza Place,33.68851824669477,-84.30923223495483,,B
35,Shell,Gas Station,33.68286281,-84.30896688,,B
36,Wendy's,Fast Food Restaurant,33.68517264919709,-84.3114879517816,,B
41,Sugar Creek Golf Course,Golf Course,33.6864081507119,-84.30080802823623,,B
44,Delta Private Air,Airport,33.671714498176556,-84.32543068341577,,A
47,I-285 & I-675,Intersection,33.67278280678741,-84.3284797668457,,B
48,Castaways Bar and Grill,Dive Bar,33.66716425374196,-84.33947929947385,,B
24,U.S. EXPRESS YARD,Shop & Service,33.618688119594694,-84.30287520234309,,B
25,No Days Off Radio,Clothing Store,33.6702085787639,-84.2621998374518,,B
26,Old South,American Restaurant,33.6193962097168,-84.30821990966797,,B
27,W.K. Wings,Wings Joint,33.68722825243109,-84.31021721822736,,B
30,Philly Connection,Sandwich Place,33.61335416132379,-84.3063421594508,,B
21,Subway,Sandwich Place,33.67244786017616,-84.23039317659492,,B
2,Publix,Grocery Store,33.67995130321889,-84.23147157265916,,B
3,Bruster's,Ice Cream Shop,33.68269962185516,-84.23196766064075,,B
4,Smoothie King,Smoothie Shop,33.681236,-84.227147,,A
10,Aldi,Supermarket,33.68148787415006,-84.2280176281929,,B
14,Kroger,Supermarket,33.67910397305761,-84.22851379495114,,B
15,Anytime Fitness,Gym / Fitness Center,33.68116,-84.2268,,B
17,Starbucks,Coffee Shop,33.67970821590522,-84.22845518500826,,B
19,Wing Stop,Wings Joint,33.680412,-84.22594,,B
21,GNC,Supplement Shop,33.679864,-84.228941,,B
25,Waffle House,Fast Food Restaurant,33.683238204406365,-84.2329574101457,,B
28,Family Dollar,Discount Store,33.68265784776901,-84.23041429990721,,B
29,Chase Bank,Bank,33.679299,-84.230357,,B
30,Redbox,Video Store,33.68016113130584,-84.22838642098986,,B
33,Dollar Tree,Discount Store,33.67978128335568,-84.22894961393293,,B
34,Papa John's Pizza,Pizza Place,33.68039389735993,-84.2319779512494,,B
36,Walgreens,Pharmacy,33.6814961,-84.2295412,,B
37,Pizza Hut,Pizza Place,33.67968272694873,-84.22530189156532,,B
38,Pesos Mexican Cantina,Mexican Restaurant,33.68096336364821,-84.22658031306113,,B
39,Redbox,Video Store,33.68130388112889,-84.22949909802955,,B
40,Sally Beauty Supply,Cosmetics Shop,33.679571783125624,-84.22816001355484,,B
41,Zaxby's Chicken Fingers & Buffalo Wings,Fried Chicken Joint,33.681695,-84.232047,,B
43,Subway - Village at Flat Shoals,Sandwich Place,33.68092738289452,-84.22636839814488,,B
44,Church's Chicken,Fried Chicken Joint,33.67979997207764,-84.23002784919159,,A
45,Little Caesars,Pizza Place,33.68096893893054,-84.22664537015517,,B
46,Dugans,Sports Bar,33.6804959080974,-84.2268632998715,,B
1,Panola Shoals Trailhead,Trail,33.654405403503105,-84.18654158576348,,B
7,Mable's Barbecue And Smoked Meats,BBQ Joint,33.685312469095955,-84.19991647228625,,B
11,Andy's Seafood,Seafood Restaurant,33.68513408242323,-84.20099379813666,,B
